Username,Komentar,Timestamp,Likes,Original Text,Public
@BrekatBre,"Yang pro junta militer, brati pengin di penjara di kandang kambing",2025-03-26T16:49:35Z,0,"Yang pro junta militer, brati pengin di penjara di kandang kambing",True
@IwanTambunan-v5q,Akhirnya dibahas,2025-03-26T16:49:21Z,0,Akhirnya dibahas,True
@mrsmiths8075,"tkut sperti myanmar? tetapi rakyat tidak ada adab. kecil² tawuran,udah gede jadi jagoan demo.. kemana otaknya,pelabur pn ga mau msuk.. mahasiswa iq brapa nihhhh.. mikir oiiii...",2025-03-26T16:48:53Z,0,"tkut sperti myanmar? tetapi rakyat tidak ada adab. kecil² tawuran,udah gede jadi jagoan demo.. kemana otaknya,pelabur pn ga mau msuk.. mahasiswa iq brapa nihhhh.. mikir oiiii...",True
@cenel2an,"EFISIENSI OMON2, TRANSPARANSI OMON2, DEMOKRASI OMON2, KEDAULATAN RAKYAT OMON2, WAKIL RAKYAT OMON2, FIX DPR DEWAN PENGHIANAT RAKYAT, DEWAN PELINDUNG RAMPOK KORUPTOR2. DPR MBIADAB BAJINGANH. BUBARKAAAAAANNNN!!!...💀☠️🗿💀☠️🗿",2025-03-26T16:48:09Z,0,"EFISIENSI OMON2, TRANSPARANSI OMON2, DEMOKRASI OMON2, KEDAULATAN RAKYAT OMON2, WAKIL RAKYAT OMON2, FIX DPR DEWAN PENGHIANAT RAKYAT, DEWAN PELINDUNG RAMPOK KORUPTOR2. DPR MBIADAB BAJINGANH. BUBARKAAAAAANNNN!!!...💀☠️🗿💀☠️🗿",True
@arrasyaff,Sehat sehat selalu banh koi,2025-03-26T16:47:04Z,0,Sehat sehat selalu banh koi,True
@hisyammuhhiddin3193,suara lu kenapa bang koi,2025-03-26T16:46:38Z,0,suara lu kenapa bang koi,True
@buatperang,"Paling gampang gini, satpam suatu cabang bca yg bagus banget itu, kira2 kalau promosi jadi apa? Mungkin gak di angkat jadi kepala cabang disana yg ngatur semua staff dan bisnis plan cabang tersebut? Kira2 kalau di angkat jadi kepala cabangnya bisa berkembang gak? Udah jelas kan jawaban nya? Pemilik bank gak akan mau kalau sampai bank nya bangkrut di pegang orang yg bukan ahlinya. Rakyat Indonesia adalah pemilik Indonesia, jadi yg masih belain uu tni/polri bisa nangkep gak kira2, atau tetep ngotot seperti biasa... orang kita orang kita....",2025-03-26T16:45:45Z,0,"Paling gampang gini, satpam suatu cabang bca yg bagus banget itu, kira2 kalau promosi jadi apa? Mungkin gak di angkat jadi kepala cabang disana yg ngatur semua staff dan bisnis plan cabang tersebut? Kira2 kalau di angkat jadi kepala cabangnya bisa berkembang gak? Udah jelas kan jawaban nya? Pemilik bank gak akan mau kalau sampai bank nya bangkrut di pegang orang yg bukan ahlinya. Rakyat Indonesia adalah pemilik Indonesia, jadi yg masih belain uu tni/polri bisa nangkep gak kira2, atau tetep ngotot seperti biasa... orang kita orang kita....",True
@kelkyeveryact,"<a href=""https://www.youtube.com/watch?v=sg8Mzx0fZbU&amp;t=737"">12:17</a> &quot;Siapa bilang bapak dari Blitar? Bapak kita dari Prambanan&quot; versi Thailand",2025-03-26T16:44:56Z,0,"12:17 ""Siapa bilang bapak dari Blitar? Bapak kita dari Prambanan"" versi Thailand",True
@Oskar23232,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻🔥👍🏻👍🏻👍🏻👍🏻,2025-03-26T16:43:48Z,0,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻🔥👍🏻👍🏻👍🏻👍🏻,True
@johannibaptista4505,"Aku nonton bocor halus, RUU ini ada salah satunya karena tentara kesulitan dan butuh waktu lama naik pangkat. Lah, setelah dipikir, mau naik pangkat ya salah satu caranya kuliah ilmu kemiliteran 😂 biasanya juga begitu kok buat yang sipil 😅 ternyata ga beda jauh ya. Aku yakin ilmu militer tu sangat luas, termasuk pelajaran hukum mengenai batas negara. Tapi kok sekarang isinya cuman adu otot doang ya. Disayangkan banget. Apa negara emang ga mau biayain tentara atau polisi ngejar pendidikan? Mau dibilang korban ya, korban. Bedanya mereka dijadiin boneka pemerintah 👍🏻 sekian",2025-03-26T16:42:09Z,0,"Aku nonton bocor halus, RUU ini ada salah satunya karena tentara kesulitan dan butuh waktu lama naik pangkat. Lah, setelah dipikir, mau naik pangkat ya salah satu caranya kuliah ilmu kemiliteran 😂 biasanya juga begitu kok buat yang sipil 😅 ternyata ga beda jauh ya. Aku yakin ilmu militer tu sangat luas, termasuk pelajaran hukum mengenai batas negara. Tapi kok sekarang isinya cuman adu otot doang ya. Disayangkan banget. Apa negara emang ga mau biayain tentara atau polisi ngejar pendidikan? Mau dibilang korban ya, korban. Bedanya mereka dijadiin boneka pemerintah 👍🏻 sekian",True
@rusydidaeng90,Angkatan Bersenjata Api,2025-03-26T16:41:03Z,0,Angkatan Bersenjata Api,True
@ahmadganteng7435,Lah.. <br>UU sudah disahkan tapi isinya gak di publish.. <br><br>Kayak de javu..,2025-03-26T16:40:21Z,0,"Lah.. 
UU sudah disahkan tapi isinya gak di publish.. 

Kayak de javu..",True
